Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Years until sold
10443,2010,5/25/2011,Hartford,235 NEWFIELD AV,560,475000.0,0.001178947,Nan,Nan,1
100031,2010,10/28/2010,Meriden,156 STERLING VLG,110470,137500.0,0.803418182,Condo,Condo,0
100466,2010,9/15/2011,Enfield,2 LAURELS B04UD,170590,174000.0,0.980402299,Condo,Condo,1
10522,2010,6/29/2011,Hartford,747 WINDSOR ST,56000,125000.0,0.448,Nan,Nan,1
10030,2010,8/19/2011,Bethlehem,0 HARD HILL RD S,132600,125000.0,1.0608,Nan,Nan,1
100275,2010,2/7/2011,Danbury,54 PADANARAM RD,904100,1350000.0,0.669703704,Nan,Nan,1
100163,2010,8/29/2011,Mansfield,LOT B -STORRS RD,21280,80000.0,0.266,Nan,Nan,1
100029,2010,12/28/2010,Granby,13 FAIRMOUNT LN,132860,189900.0,0.699631385,Condo,Condo,0
100496,2010,8/25/2011,Meriden,56 OAK ST,123560,135000.0,0.915259259,Condo,Condo,1
10195,2010,1/11/2011,Hartford,53 MAIN ST,343980,325000.0,1.0584,Nan,Nan,1
100502,2010,9/13/2011,Middletown,27 MILL ST,165010,156000.0,1.05775641,Nan,Nan,1
10475,2010,1/10/2011,Bridgeport,832 ATLANTIC STREET,714260,750000.0,0.952346667,Nan,Nan,1
10034,2010,11/12/2010,Madison,188 BOSTON POST ROAD,840200,1700000.0,0.494235294,Nan,Nan,0
100274,2010,2/7/2011,Danbury,112 NEWTOWN RD,1198200,1950000.0,0.614461538,Nan,Nan,1
10509,2010,1/18/2011,Bridgeport,4 TERESA PLACE,112610,145000.0,0.77662069,Condo,Condo,1
100415,2010,7/12/2011,Middletown,ARBUTUS ST,90930,125000.0,0.72744,Nan,Nan,1
100013,2010,10/19/2010,Avon,31 GRAY PINE COMMON,120440,143000.0,0.842237762,Condo,Condo,0
100052,2010,11/2/2010,New Britain,2012 CORBIN AVE,105420,135000.0,0.780888889,Nan,Nan,0
10023,2010,12/22/2010,Derby,ROOSEVELT DR,3080,7000.0,0.44,Nan,Nan,0
10166,2010,12/29/2010,Hartford,170 SISSON AV,8103984,26110000.0,0.310378552,Nan,Nan,0
10231,2010,3/29/2011,Glastonbury,4 UPLANDS WAY,170500,220000.0,0.775,Condo,Condo,1
10003,2010,11/30/2010,Hartland,PELL RD,80330,125900.0,0.638046068,Nan,Nan,0
10150,2010,8/1/2011,Monroe,204B WINDGATE CIR,159040,232000.0,0.685517241,Condo,Condo,1
100055,2010,9/2/2011,Bolton,65 HIGHRIDGE FARM LN,100540,132000.0,0.761666667,Nan,Nan,1
10058,2010,8/1/2011,Easton,61 RIDGEWAY,243430,400000.0,0.608575,Nan,Nan,1
100349,2010,5/27/2011,Middletown,WILCOX RD,61880,120000.0,0.515666667,Nan,Nan,1
100374,2010,6/2/2011,Meriden,295 SWAIN AVE,129720,199000.0,0.651859296,Condo,Condo,1
